REGION,T_INSTRUM,ESTRATO,PISOS,P1_2,P1_2_A,FOCOS,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P1_4_7,P1_4_8,P1_4_9,AGUA,DRENAJE,P1_7,P1_9,P1_10_1,P1_10_2,P1_10_3,P1_10_4,PAREN,EDAD,RES_MADRE,RES_PADRE,ESCOLARIDAD,GRA,ALFABETISMO,ASISTENCIA_ESC,PERT_INDIGENA,LENG_INDIGENA,LENG_ESPANOL,TRABAJO,P2_14,P2_15,P10_1,P10_3,NACIO_VIV,NACIO_MUERT,ABORTO,P10_5,P10_6ANIO,P10_6MES,P10_8_abuso,P10_8_atencion,P10_7
4,0,1,1,1,2,5,0,1,1,1,1,1,0,1,1,0,0,5,1,,,,,1,3,2.0,2.0,2,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,2,9,0,1,1
4,0,1,2,2,4,5,1,1,0,0,1,0,0,0,1,0,1,5,1,,,,,1,2,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,0,1,2,0,0,1,4,0,1,0,1
4,0,1,1,2,3,12,1,1,1,1,1,1,1,0,1,0,1,4,1,,,,,1,2,1.0,2.0,4,4.0,1,0,0.0,0,,0,1.0,4.0,0,0,1,0,0,1,4,10,1,1,1
4,0,1,2,2,3,5,1,1,0,0,1,1,1,0,1,0,1,5,1,,,,,1,2,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,3,5,0,0,1
4,0,1,1,2,3,7,1,1,0,0,1,1,1,1,0,1,4,7,1,,,,,3,0,2.0,2.0,1,5.0,1,0,0.0,0,,0,10.0,,5,0,1,0,0,0,5,8,0,0,0
4,0,1,1,1,2,6,1,1,0,0,1,1,1,0,1,0,1,6,1,,,,,0,1,1.0,2.0,1,2.0,1,0,0.0,1,True,0,10.0,,5,1,2,0,0,0,5,0,0,0,0
4,2,1,2,2,2,12,1,1,1,0,1,1,1,0,1,0,1,6,1,,,,,2,2,1.0,1.0,1,2.0,1,0,2.0,0,,1,,1.0,0,1,2,0,0,1,2,10,0,0,1
4,0,1,2,2,4,8,1,1,1,0,1,1,1,1,1,0,1,7,1,,,,,1,5,2.0,2.0,4,4.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,1,1,0,0,0
4,0,0,1,2,4,7,1,1,0,0,1,1,1,1,1,1,4,4,1,,,,,1,3,2.0,3.0,1,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,5,4,0,0,1
4,0,0,1,5,7,12,1,1,0,0,1,1,1,1,1,0,1,16,1,,,,,3,1,2.0,2.0,1,5.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,0,3,5,0,0,4
4,0,0,1,2,2,4,1,1,0,0,1,1,1,0,0,0,1,4,1,,,,,1,2,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,0,7,1,0,1
4,0,0,1,3,4,10,1,1,0,0,1,1,1,0,1,0,1,16,1,,,,,2,2,1.0,3.0,1,2.0,1,0,0.0,0,,1,,1.0,0,0,1,0,0,0,1,6,0,0,4
4,0,0,1,2,3,4,1,1,0,0,1,1,1,0,1,1,1,4,1,,,,,1,3,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,4,0,1,0,1
4,0,0,1,2,2,4,1,1,0,0,1,0,1,0,1,1,1,5,2,0.0,1.0,0.0,0.0,1,4,3.0,1.0,1,5.0,1,0,0.0,0,,0,10.0,,8,1,2,0,0,1,3,7,0,1,1
4,0,0,1,1,3,6,1,1,0,0,1,1,1,0,1,0,1,4,1,,,,,1,2,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,2,5,0,0,1
4,1,0,2,1,3,7,0,1,0,0,1,1,1,0,1,1,1,5,1,,,,,1,2,2.0,2.0,1,2.0,1,0,0.0,1,True,0,1.0,4.0,0,1,2,0,0,4,2,10,0,0,4
4,0,0,2,1,3,5,0,1,0,0,1,1,1,0,1,0,1,4,1,,,,,1,2,3.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,2,5,0,0,1
4,0,0,1,2,3,5,1,1,0,0,1,0,1,0,0,2,1,9,1,,,,,2,2,3.0,1.0,1,0.0,1,0,0.0,1,True,0,10.0,,5,0,1,0,0,0,3,4,0,0,4
4,0,0,1,1,1,3,1,1,1,0,1,0,1,0,1,0,1,3,1,,,,,0,1,2.0,2.0,2,2.0,1,0,0.0,1,True,0,10.0,,5,0,1,0,0,4,4,8,1,0,4
4,0,0,2,2,3,7,1,1,0,0,1,1,1,0,0,0,1,7,2,0.0,1.0,0.0,0.0,0,0,1.0,1.0,1,2.0,1,0,0.0,1,True,0,10.0,,8,0,1,0,0,0,4,10,0,1,4
4,0,0,2,2,3,10,0,1,0,0,1,1,1,1,1,0,1,4,1,,,,,1,2,2.0,3.0,1,2.0,1,0,0.0,1,True,0,10.0,,5,0,1,0,0,0,1,4,0,0,4
4,0,0,1,1,1,3,0,0,0,0,1,0,1,0,1,0,1,4,1,,,,,1,1,2.0,2.0,1,4.0,1,0,0.0,1,True,0,10.0,,5,1,1,0,1,0,3,6,0,0,4
4,0,0,1,1,1,3,0,1,0,0,1,0,0,0,1,0,1,3,1,,,,,1,1,2.0,2.0,2,2.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,4,5,9,0,0,4
4,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,4,4,1,,,,,1,4,2.0,3.0,1,1.0,1,0,0.0,1,True,0,10.0,,5,1,2,0,0,4,4,10,0,0,4
4,0,0,1,2,3,5,0,1,0,0,1,0,0,0,0,0,4,4,1,,,,,1,4,2.0,2.0,1,2.0,1,0,0.0,1,True,0,10.0,,5,0,1,0,0,0,4,5,0,0,4
4,0,0,1,4,4,5,0,1,0,0,1,0,1,0,1,0,1,11,3,0.0,1.0,0.0,0.0,1,1,1.0,1.0,2,2.0,1,0,0.0,1,True,0,10.0,,5,1,2,0,0,0,5,4,0,0,4
4,0,0,1,1,2,3,0,1,0,0,1,0,1,0,1,0,1,9,1,,,,,1,2,2.0,2.0,1,5.0,1,0,0.0,1,True,0,10.0,,5,1,2,0,0,4,4,9,1,0,4
4,0,2,2,2,3,22,0,1,1,0,1,1,1,1,1,0,1,6,1,,,,,1,2,2.0,2.0,1,5.0,1,0,2.0,0,,1,,1.0,8,0,1,0,0,4,0,6,1,0,4
4,0,2,2,2,6,12,1,1,1,1,1,1,1,1,1,0,1,6,1,,,,,1,5,2.0,3.0,3,2.0,1,0,2.0,0,,1,,1.0,0,1,2,0,0,1,2,11,0,0,1
4,0,1,2,2,3,6,0,1,0,0,1,1,1,0,1,0,1,4,1,,,,,1,1,2.0,2.0,2,1.0,1,0,2.0,0,,0,10.0,,0,1,2,0,0,1,5,1,1,0,1
4,4,1,2,3,7,15,1,1,1,1,1,1,1,1,1,0,1,5,1,,,,,2,2,1.0,1.0,4,3.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,3,0,0,0,1
4,0,2,2,1,3,6,1,1,0,1,1,1,0,0,1,0,1,5,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,1,,4.0,8,0,1,0,0,0,4,1,0,0,0
4,0,1,2,2,5,10,0,1,1,0,1,1,1,0,1,0,1,7,1,,,,,2,2,1.0,1.0,2,2.0,1,0,0.0,0,,0,10.0,,0,1,2,0,0,1,3,9,0,0,1
4,0,2,2,1,6,13,0,1,1,0,1,1,1,1,1,0,1,4,1,,,,,1,3,2.0,3.0,4,3.0,1,0,2.0,0,,0,1.0,4.0,2,0,1,0,0,6,1,10,0,0,2
4,0,1,1,3,5,10,1,1,1,1,1,1,1,1,1,0,1,9,1,,,,,3,4,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,3,10,0,0,1
4,0,1,2,1,2,4,0,1,0,0,1,1,1,0,1,0,1,3,1,,,,,1,3,2.0,2.0,1,1.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,4,3,10,0,0,4
4,0,2,2,1,5,7,1,1,0,1,1,1,0,0,1,0,1,3,1,,,,,1,2,2.0,3.0,1,2.0,1,0,0.0,0,,0,7.0,,5,0,1,0,0,0,4,2,0,0,0
4,0,1,2,1,5,18,0,1,1,1,1,1,1,1,1,0,1,5,1,,,,,1,4,3.0,3.0,2,2.0,1,0,0.0,0,,1,,1.0,0,0,1,0,0,1,0,9,1,0,1
4,0,1,1,3,5,8,0,1,1,0,1,1,1,1,1,0,1,9,1,,,,,1,1,2.0,2.0,2,1.0,1,0,2.0,0,,0,10.0,,0,2,1,0,2,1,4,2,0,0,1
4,0,1,1,1,4,7,1,1,0,0,1,1,1,0,0,0,1,3,1,,,,,1,2,2.0,2.0,2,1.0,1,0,0.0,0,,1,,4.0,0,0,1,0,0,1,1,7,0,1,1
4,0,1,1,2,3,7,1,1,0,0,1,1,1,0,0,0,1,5,1,,,,,0,2,,,1,1.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,6,2,3,1,0,1
4,0,1,2,1,2,10,0,1,0,0,1,1,0,0,1,0,1,4,1,,,,,1,1,2.0,2.0,4,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,6,4,8,1,1,0
4,0,1,2,1,2,7,1,0,1,0,1,1,0,1,0,0,1,3,1,,,,,1,1,2.0,2.0,3,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,4,8,0,0,0
4,0,2,2,1,3,8,0,1,1,0,1,1,1,1,1,0,1,4,1,,,,,1,2,2.0,2.0,4,3.0,1,0,2.0,0,,1,,4.0,5,1,2,0,0,0,5,2,0,1,0
4,0,2,2,3,6,10,1,1,1,1,1,1,1,1,1,0,1,6,2,1.0,1.0,0.0,0.0,1,3,2.0,2.0,1,2.0,1,0,2.0,0,,1,,4.0,0,0,1,0,0,1,1,0,0,1,1
4,0,2,2,1,4,6,1,1,1,0,1,1,0,0,1,0,1,3,1,,,,,1,2,2.0,2.0,4,4.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,6,4,8,0,0,4
4,0,2,2,3,6,15,0,1,1,1,1,1,1,1,1,0,1,6,1,,,,,3,2,2.0,2.0,4,3.0,1,0,2.0,0,,1,,1.0,5,0,1,0,0,6,3,7,1,0,0
4,0,1,2,2,5,15,1,1,1,1,1,1,1,1,1,0,1,4,1,,,,,1,4,2.0,2.0,4,3.0,1,0,,0,,1,,1.0,0,0,1,0,0,1,4,6,0,1,1
4,0,1,2,2,3,6,1,1,0,1,1,1,0,0,1,0,1,6,1,,,,,3,1,2.0,2.0,1,5.0,0,0,0.0,0,,0,4.0,4.0,5,1,2,0,0,0,3,4,0,0,4
4,0,1,2,1,4,8,1,1,1,1,1,1,1,1,1,0,1,4,1,,,,,0,3,2.0,2.0,1,2.0,1,0,0.0,0,,1,,4.0,0,0,1,0,0,6,1,2,1,0,1
4,0,1,1,3,4,5,0,1,0,0,1,1,1,0,1,0,1,8,2,0.0,1.0,0.0,0.0,1,3,3.0,1.0,1,2.0,1,0,0.0,0,,1,,4.0,0,0,1,0,0,1,4,10,1,1,1
4,0,2,2,1,3,7,0,0,1,0,1,1,1,1,1,0,1,3,1,,,,,1,2,2.0,2.0,4,3.0,1,0,2.0,0,,0,10.0,,5,0,1,0,0,6,0,9,1,0,2
4,0,2,2,2,5,16,1,1,1,0,1,1,1,1,1,0,1,4,1,,,,,1,5,3.0,2.0,4,3.0,1,0,2.0,0,,1,,4.0,2,0,1,0,0,2,0,9,0,0,2
4,0,2,2,2,4,8,0,1,1,1,1,1,1,1,1,0,1,5,1,,,,,0,5,2.0,2.0,4,4.0,1,0,0.0,0,,1,,1.0,0,0,1,0,0,1,0,8,0,0,1
4,0,1,1,2,5,10,0,1,0,0,1,1,1,1,0,0,1,7,1,,,,,2,3,1.0,1.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,9,3,1,0,1,4
4,0,1,2,2,3,5,1,0,1,1,1,1,1,0,1,0,1,6,1,,,,,1,3,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,0,2,2,0,1,1,3,8,0,0,1
4,0,2,2,1,5,4,0,0,1,0,1,1,0,0,1,0,1,4,1,,,,,1,3,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,0,1,2,0,0,0,2,9,0,0,1
4,0,2,2,1,4,8,1,1,0,0,1,1,1,0,1,0,1,2,1,,,,,1,4,2.0,2.0,1,5.0,1,0,0.0,1,True,1,,1.0,0,1,0,1,0,1,3,0,0,0,1
4,0,2,2,1,5,15,1,1,0,1,1,1,1,1,1,0,1,2,1,,,,,1,4,2.0,3.0,4,4.0,1,0,0.0,0,,1,,1.0,0,0,0,1,0,6,1,3,0,0,1
4,0,1,2,3,5,9,1,1,1,0,1,1,1,1,1,0,1,7,2,0.0,1.0,0.0,0.0,1,3,1.0,1.0,2,2.0,1,1,0.0,0,,1,,1.0,0,0,1,0,0,1,0,5,0,0,1
4,0,1,2,2,4,14,0,1,1,1,1,1,1,1,1,0,1,4,1,,,,,1,6,2.0,2.0,4,3.0,1,0,2.0,0,,1,,1.0,0,1,1,0,1,6,2,1,1,0,4
4,0,2,2,2,4,6,0,1,1,0,1,1,1,0,1,0,1,5,1,,,,,1,4,2.0,2.0,3,2.0,1,0,0.0,0,,0,10.0,,0,1,2,0,0,1,3,9,0,0,1
4,0,1,2,1,3,7,1,1,1,1,1,1,1,0,1,0,1,4,1,,,,,1,3,2.0,3.0,1,2.0,1,0,2.0,0,,0,10.0,,5,0,1,0,0,0,3,8,0,0,0
4,0,2,2,2,4,10,0,1,0,1,1,1,1,1,1,0,1,3,1,,,,,1,4,2.0,2.0,3,1.0,1,0,0.0,0,,0,10.0,,0,2,1,0,2,6,1,5,1,0,1
4,4,1,2,2,4,12,1,1,0,0,1,1,1,0,1,0,1,3,1,,,,,0,2,3.0,2.0,2,2.0,1,0,2.0,0,,0,1.0,4.0,4,0,1,0,0,6,1,0,1,1,4
4,2,1,2,1,1,3,0,1,0,0,1,1,1,0,1,0,1,4,1,,,,,0,4,2.0,2.0,2,2.0,1,0,0.0,0,,1,,1.0,0,0,1,0,0,1,4,2,0,1,1
4,0,2,2,1,3,6,1,1,0,0,1,1,1,1,1,0,1,3,1,,,,,1,5,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,0,1,1,0,1,1,2,10,1,0,1
4,0,2,2,4,7,14,1,1,1,0,1,1,1,1,1,0,1,4,1,,,,,1,2,2.0,1.0,4,3.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,4,8,0,0,1
4,4,2,2,1,5,5,0,1,1,1,1,1,0,1,1,0,0,3,1,,,,,0,2,2.0,2.0,4,3.0,1,0,1.0,0,,1,,1.0,0,0,1,0,0,6,1,3,1,1,1
4,4,2,2,2,5,11,0,1,0,1,1,1,1,1,1,0,1,4,1,,,,,2,1,1.0,2.0,2,2.0,1,0,2.0,0,,1,,1.0,8,0,1,0,0,0,3,5,0,0,0
4,0,2,2,1,2,7,1,1,0,0,1,1,1,1,0,0,1,3,1,,,,,1,3,2.0,2.0,4,4.0,1,0,0.0,1,True,1,,1.0,0,0,1,0,0,6,3,7,0,0,1
4,0,2,2,2,3,7,1,1,1,0,1,1,1,0,1,0,1,8,1,,,,,3,1,2.0,2.0,2,0.0,1,0,0.0,0,,1,,1.0,0,2,3,0,0,4,4,8,0,1,4
4,0,2,2,2,3,6,0,1,1,0,1,1,1,0,1,0,1,4,1,,,,,2,3,1.0,2.0,2,2.0,1,0,2.0,0,,0,1.0,4.0,0,0,1,0,0,6,0,6,1,1,1
4,0,2,2,2,4,8,0,1,1,1,1,1,1,0,1,0,1,7,1,,,,,2,2,1.0,1.0,3,1.0,1,0,0.0,0,,1,,1.0,0,1,2,0,1,1,4,0,1,1,1
4,0,3,2,1,5,8,0,0,1,0,1,1,1,0,1,0,1,3,1,,,,,1,3,2.0,3.0,4,3.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,6,4,2,0,0,1
4,0,2,2,2,5,10,1,1,1,1,1,1,1,1,1,0,1,3,1,,,,,1,4,2.0,3.0,4,3.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,1,10,0,0,1
4,0,1,2,2,4,12,0,1,1,0,1,1,1,1,1,0,1,3,1,,,,,1,1,2.0,3.0,2,2.0,1,0,2.0,0,,1,,1.0,8,0,1,0,0,6,4,11,0,0,0
4,0,1,1,1,3,3,1,1,0,0,1,1,1,0,0,0,1,3,1,,,,,1,0,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,4,6,0,0,0
4,0,2,2,2,5,8,1,1,0,0,1,1,1,1,0,0,1,6,1,,,,,2,2,1.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,1,0,1,1,9,0,1,1
4,0,1,2,1,2,2,1,1,0,0,1,1,1,0,0,3,1,4,1,,,,,1,3,2.0,2.0,4,4.0,1,0,2.0,0,,0,10.0,,0,1,2,0,0,1,2,3,0,0,1
4,0,1,1,1,1,2,1,1,0,1,1,1,1,0,1,0,1,5,2,0.0,1.0,0.0,0.0,1,0,2.0,2.0,1,0.0,1,0,2.0,0,,0,10.0,,5,0,1,0,0,0,4,3,0,0,4
4,0,1,2,1,3,6,0,1,0,0,1,1,1,0,0,0,1,4,1,,,,,1,4,2.0,2.0,2,2.0,1,0,0.0,0,,0,10.0,,0,1,2,0,0,1,3,5,1,1,1
4,0,3,2,2,3,9,0,1,1,1,1,1,1,0,1,0,1,4,2,0.0,1.0,1.0,0.0,1,1,2.0,3.0,1,2.0,1,0,0.0,0,,0,7.0,,0,0,1,0,0,4,1,10,0,0,4
4,0,1,1,1,2,16,0,1,1,0,1,1,1,0,1,0,1,4,1,,,,,1,4,2.0,2.0,2,2.0,1,0,0.0,0,,0,10.0,,0,1,1,0,1,6,3,9,0,0,1
4,0,3,2,1,3,5,1,1,1,1,1,1,1,0,1,0,1,4,1,,,,,1,3,3.0,3.0,2,2.0,1,0,2.0,0,,0,10.0,,5,0,1,1,1,0,0,0,1,0,0
4,0,1,2,2,3,13,1,1,1,0,1,1,1,1,1,0,1,4,1,,,,,1,4,2.0,3.0,2,2.0,1,0,2.0,0,,1,,5.0,0,0,1,0,0,1,5,3,0,0,1
4,0,1,2,2,3,8,1,1,1,1,1,1,1,1,1,0,1,5,1,,,,,3,1,2.0,2.0,2,2.0,1,0,0.0,1,True,0,10.0,,0,0,1,0,0,1,3,11,0,0,1
4,0,1,1,2,3,7,1,1,0,1,1,1,1,0,1,0,1,3,1,,,,,1,4,2.0,2.0,1,2.0,1,0,2.0,0,,1,,4.0,8,0,1,0,0,0,2,7,1,0,0
4,0,3,1,2,4,11,1,1,1,0,1,1,1,1,1,0,1,5,1,,,,,0,2,2.0,2.0,4,6.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,1,2,9,0,0,1
4,0,2,1,1,4,10,1,1,1,1,1,1,1,1,1,0,0,4,1,,,,,1,2,2.0,2.0,2,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,2,5,0,0,1
4,0,1,2,2,4,6,1,1,1,1,1,1,1,0,1,0,1,5,1,,,,,1,3,2.0,3.0,1,2.0,1,0,2.0,0,,1,,4.0,5,0,1,0,0,1,0,0,1,1,1
4,0,1,1,1,2,7,1,1,1,1,1,1,1,1,1,0,1,4,1,,,,,1,2,2.0,2.0,4,2.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,1,1,8,0,0,1
4,0,3,2,3,5,12,1,1,0,1,1,1,1,1,1,0,1,6,1,,,,,3,1,2.0,2.0,2,2.0,1,0,2.0,0,,0,10.0,,0,0,2,0,0,6,2,7,1,0,1
4,0,0,2,3,5,6,1,1,1,0,1,1,1,0,0,0,1,7,1,,,,,2,0,1.0,1.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,0,5,4,1,1,0
4,0,3,2,3,6,12,1,1,1,1,1,1,1,1,1,0,1,4,1,,,,,3,2,2.0,2.0,4,3.0,1,0,1.0,0,,0,10.0,,0,0,1,0,0,6,4,5,1,1,1
4,0,3,2,1,4,9,1,1,1,1,1,1,1,0,1,0,1,4,1,,,,,0,2,2.0,2.0,4,7.0,1,0,2.0,0,,1,,1.0,2,0,1,0,0,2,5,1,0,1,2
4,5,1,1,1,4,9,1,1,0,1,1,1,1,0,1,0,1,3,1,,,,,4,5,3.0,3.0,1,2.0,1,0,2.0,0,,1,,2.0,0,0,1,0,0,1,4,7,1,0,1
4,0,1,2,1,2,4,0,0,0,0,1,1,0,0,0,0,1,3,1,,,,,1,0,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,4,9,0,0,4
4,0,1,2,2,4,7,0,1,0,0,1,1,1,0,1,0,1,4,1,,,,,1,1,2.0,2.0,1,5.0,1,0,0.0,1,True,0,1.0,4.0,5,0,1,0,0,1,1,3,0,0,1
4,0,1,2,1,3,6,0,1,0,0,1,1,1,0,1,0,1,3,1,,,,,1,0,2.0,2.0,2,0.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,4,4,0,0,0,4
4,0,1,2,2,3,13,1,1,1,1,1,1,1,1,1,0,1,3,1,,,,,1,3,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,1,0,1,0,5,0,0,1
4,0,3,2,2,3,6,0,0,0,0,1,1,1,0,0,0,1,8,2,0.0,0.0,0.0,1.0,1,1,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,2,2,0,1,0,5,5,1,0,0
4,0,3,2,2,5,30,1,1,0,0,1,1,1,1,1,0,0,4,1,,,,,1,2,3.0,3.0,2,2.0,1,0,0.0,0,,1,,1.0,0,0,1,0,0,1,2,3,1,1,1
4,0,0,2,2,3,7,1,1,1,1,1,1,1,0,1,0,0,4,1,,,,,1,5,2.0,2.0,1,2.0,1,0,0.0,0,,0,1.0,4.0,0,0,1,0,0,1,2,1,1,0,1
4,0,0,2,2,3,15,1,1,1,1,0,1,1,1,1,0,0,6,1,,,,,1,4,2.0,2.0,1,2.0,1,0,0.0,0,,0,12.0,,5,3,4,0,0,0,0,2,1,1,0
4,0,0,2,1,2,6,0,1,1,1,1,1,1,1,1,0,0,3,1,,,,,1,5,3.0,3.0,4,3.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,1,1,1,1,1
4,0,1,2,1,3,6,0,1,1,1,1,1,1,1,1,0,0,4,1,,,,,1,4,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,0,2,0,0,1
4,2,1,2,2,3,6,1,1,0,0,1,1,1,0,0,0,0,4,1,,,,,0,3,2.0,2.0,1,2.0,1,0,0.0,0,,0,1.0,4.0,0,0,1,0,0,1,4,1,1,0,1
4,0,1,2,2,2,8,1,1,1,0,1,1,1,1,1,0,0,3,1,,,,,1,3,2.0,2.0,4,4.0,1,0,2.0,0,,0,10.0,,8,1,1,1,0,0,3,11,1,0,1
4,0,1,2,1,1,4,0,1,1,0,1,1,0,0,0,0,0,3,1,,,,,1,1,2.0,2.0,1,5.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,1,0,7,0,1,1
4,0,1,2,1,2,7,1,1,1,1,1,1,1,1,1,0,0,5,1,,,,,1,4,1.0,3.0,4,4.0,1,0,0.0,0,,1,,1.0,2,1,2,0,0,2,5,7,1,0,2
4,0,1,2,1,3,7,0,1,0,0,1,1,0,0,0,0,0,5,1,,,,,1,2,2.0,2.0,2,2.0,1,0,0.0,0,,0,10.0,,8,2,3,0,0,0,5,2,0,1,0
4,0,1,2,2,2,6,1,1,1,0,1,1,1,1,0,0,0,3,1,,,,,1,2,2.0,2.0,4,4.0,1,0,0.0,0,,1,,1.0,0,0,1,0,0,1,5,2,0,0,1
4,0,3,2,2,4,7,1,1,0,0,1,1,1,1,1,0,0,4,1,,,,,1,4,2.0,3.0,2,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,3,3,0,0,1
4,0,3,2,2,4,14,1,1,1,0,1,1,1,1,1,0,0,3,1,,,,,1,3,2.0,2.0,4,4.0,1,1,2.0,0,,1,,4.0,0,0,1,0,0,1,2,10,0,1,1
4,0,0,1,2,2,3,0,1,0,0,1,1,0,0,0,0,0,4,1,,,,,3,1,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,0,0,8,0,0,0
4,4,2,2,2,3,15,1,1,0,1,1,1,1,1,1,0,1,3,1,,,,,0,4,3.0,3.0,4,1.0,1,0,2.0,0,,1,,1.0,0,0,1,0,0,6,4,8,0,0,1
4,0,0,2,2,3,4,1,1,1,0,1,1,1,0,1,0,1,4,1,,,,,1,2,2.0,2.0,1,2.0,1,0,2.0,0,,1,,1.0,8,0,1,0,0,0,0,10,0,0,0
4,0,0,1,1,2,3,0,1,0,0,1,0,0,0,0,0,1,3,1,,,,,1,1,2.0,2.0,2,1.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,4,8,1,0,0
4,0,0,2,2,5,7,1,1,0,0,1,1,1,1,1,0,1,4,1,,,,,1,2,2.0,2.0,2,2.0,1,0,0.0,0,,0,10.0,,8,1,2,0,0,0,5,0,1,0,0
4,0,1,2,1,2,5,0,1,0,0,1,1,1,0,1,0,0,4,1,,,,,1,2,2.0,3.0,4,3.0,1,0,0.0,0,,1,,1.0,0,0,1,0,0,1,4,0,1,1,1
4,0,1,2,1,3,6,1,1,1,1,1,1,1,1,1,0,1,4,1,,,,,1,4,2.0,2.0,1,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,3,7,0,1,1
4,0,1,1,1,1,3,0,1,0,0,1,1,1,0,1,0,0,3,1,,,,,1,1,2.0,2.0,1,2.0,1,0,2.0,0,,0,10.0,,8,0,1,0,0,0,2,10,1,1,0
4,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,3,1,,,,,1,1,2.0,2.0,1,0.0,1,0,0.0,0,,1,,1.0,5,1,1,0,1,0,1,10,1,0,4
4,0,0,2,1,3,5,0,1,0,0,1,1,1,0,1,0,0,4,1,,,,,0,2,3.0,2.0,2,2.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,1,1,8,0,0,1
4,4,1,2,1,3,5,0,1,1,1,1,1,1,1,1,0,1,5,1,,,,,2,1,1.0,1.0,2,2.0,1,0,0.0,0,,1,,1.0,8,0,1,0,0,6,1,5,0,0,0
4,0,1,1,1,3,8,0,1,1,0,1,1,1,0,1,0,1,5,1,,,,,1,3,2.0,2.0,4,3.0,1,0,2.0,0,,0,10.0,,5,0,1,0,0,0,5,6,0,0,4
4,0,1,2,1,2,5,1,0,0,0,1,1,1,1,1,5,1,7,1,,,,,1,2,2.0,2.0,1,5.0,1,0,0.0,0,,0,10.0,,0,0,1,0,0,6,4,7,0,0,1
4,0,1,2,1,2,7,0,1,0,0,1,1,1,1,0,5,1,5,1,,,,,1,2,2.0,3.0,1,2.0,1,0,2.0,0,,0,10.0,,0,0,1,0,0,6,5,5,0,0,1
4,0,1,1,3,3,9,1,1,0,0,1,1,1,1,1,0,1,13,1,,,,,3,0,2.0,2.0,1,5.0,1,0,0.0,0,,0,10.0,,8,0,1,0,0,1,1,9,0,0,4
4,2,1,1,1,1,2,1,1,1,0,1,1,1,0,1,5,1,3,1,,,,,0,5,2.0,2.0,1,2.0,1,0,0.0,0,,1,,1.0,8,0,1,0,0,0,1,10,0,0,4
4,2,1,1,2,3,7,1,1,0,0,1,1,0,0,1,1,1,6,1,,,,,2,1,1.0,1.0,1,1.0,1,0,2.0,0,,0,1.0,1.0,8,0,1,0,0,0,2,2,0,0,4
